Date,Open,High,Low,Close,Adj Close,Volume
2024-06-12,71.309998,73.599998,71.000000,73.150002,73.150002,24435500
2024-06-13,73.160004,73.160004,70.239998,70.860001,70.860001,17109400
2024-06-14,70.910004,71.000000,69.320000,70.059998,70.059998,11601100
2024-06-17,69.910004,70.830002,69.830002,70.489998,70.489998,14760500
2024-06-18,70.599998,71.209999,69.889999,70.330002,70.330002,9511600
2024-06-20,70.510002,71.120003,69.730003,70.300003,70.300003,10662400
2024-06-21,70.040001,70.250000,69.230003,70.209999,70.209999,20913300
2024-06-24,69.830002,71.230003,69.750000,70.540001,70.540001,12479300
2024-06-25,71.860001,72.940002,70.220001,71.379997,71.379997,18911600
2024-06-26,70.940002,71.599998,70.550003,70.849998,70.849998,10232600
2024-06-27,70.980003,71.320000,70.070000,70.339996,70.339996,9650500
2024-06-28,70.809998,73.260002,70.769997,72.680000,72.680000,21375900
2024-07-01,72.199997,72.580002,69.400002,71.099998,71.099998,13438700
2024-07-02,71.250000,71.260002,68.879997,70.669998,70.669998,14319000
2024-07-03,70.660004,72.139999,70.500000,71.300003,71.300003,7869800
2024-07-05,70.989998,71.417999,70.385002,71.059998,71.059998,6599200
2024-07-08,71.309998,71.779999,70.750000,71.250000,71.250000,7231100
2024-07-09,71.400002,72.279999,71.129997,71.320000,71.320000,8757900
2024-07-10,71.500000,71.500000,68.379997,69.269997,69.269997,14638800
2024-07-11,69.510002,73.644997,68.849998,73.529999,73.529999,26702500
2024-07-12,72.110001,73.800003,72.110001,72.430000,72.430000,14683700
2024-07-15,73.059998,73.250000,70.761002,72.290001,72.290001,13472600
2024-07-16,73.110001,75.400002,73.110001,74.300003,74.300003,17529000
2024-07-17,73.379997,73.410004,68.555000,68.620003,68.620003,27884400
2024-07-18,69.000000,69.341003,65.809998,66.260002,66.260002,21988900
2024-07-19,66.779999,67.440002,66.099998,67.309998,67.309998,12809600
2024-07-22,67.529999,68.779999,67.084999,67.730003,67.730003,13408000
2024-07-23,68.050003,69.099998,67.279999,67.519997,67.519997,9539800
2024-07-24,67.269997,67.790001,65.779999,66.139999,66.139999,15187100
2024-07-25,66.000000,69.370003,64.400002,65.739998,65.739998,22596900
2024-07-26,66.099998,66.260002,64.180000,64.400002,64.400002,17379400
2024-07-29,64.834999,65.254997,63.720001,63.759998,63.759998,16907000
2024-07-30,64.150002,64.769997,62.610001,63.090000,63.090000,16506200
2024-07-31,63.880001,65.181999,63.660000,64.470001,64.470001,18209700
2024-08-01,64.860001,65.000000,60.759998,61.020000,61.020000,18967900
2024-08-02,59.380001,59.580002,56.860001,58.990002,58.990002,27654600
2024-08-05,55.529999,58.650002,54.840000,58.480000,58.480000,32063700
2024-08-06,62.549999,65.820000,60.500000,64.870003,64.870003,49255164
